question_id,channel,feature_type,model,response,bleu,rouge_l,token_f1,judge_correctness,judge_groundedness,judge_relevance,judge_helpfulness,judge_overall
Q001,USSD,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.75,0.2368,0.411,3.59,3.41,3.23,3.16,3.13
Q002,USSD,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.4186,0.1429,0.2687,3.21,3.04,2.88,2.82,2.79
Q003,USSD,appointment_routing,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.4706,0.1639,0.2807,3.28,3.12,2.95,2.89,2.85
Q004,USSD,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.3704,0.1132,0.1961,3.17,3.02,2.86,2.79,2.76
Q005,USSD,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.3902,0.0882,0.2388,3.16,3.0,2.84,2.78,2.75
Q006,Mobile App,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.5,0.1622,0.2857,3.38,3.21,3.04,2.97,2.94
Q007,Mobile App,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.2857,0.0968,0.1667,3.07,2.92,2.77,2.7,2.67
Q008,Mobile App,appointment_routing,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.4,0.1493,0.2462,3.18,3.02,2.86,2.8,2.77
Q009,Mobile App,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.3243,0.0938,0.2034,3.14,2.98,2.82,2.76,2.73
Q010,Mobile App,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.2581,0.069,0.1404,3.04,2.89,2.74,2.68,2.64
Q011,Web Portal,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.45,0.1846,0.2812,3.45,3.28,3.1,3.03,3.0
Q012,Web Portal,medication_guidance,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.2979,0.0811,0.2029,3.1,2.94,2.79,2.73,2.7
Q013,Web Portal,appointment_routing,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms.",0.5185,0.1538,0.2745,3.32,3.16,2.99,2.93,2.89
Q014,Web Portal,symptom_triage,gpt-4o-mini,"This is a clinically relevant guidance response. Prioritize patient safety, advise urgent assessment for red flags, and provide clear follow-up instructions based on the reported symptoms. Seek immediate clinical help if severe symptoms, breathing difficulty, or worsening condition occur.",0.5,0.1538,0.3175,3.55,3.37,3.19,3.12,3.09
