day,model,daily_request_volume,avg_input_tokens,avg_output_tokens,cost_per_request,daily_cost_usd
1,gpt-4o-mini,1650.0,850,180,0.2355,388.575
1,gpt-4o,550.0,1200,260,5.6,3080.0
2,gpt-4o-mini,1650.0,850,180,0.2355,388.575
2,gpt-4o,550.0,1200,260,5.6,3080.0
3,gpt-4o-mini,1650.0,850,180,0.2355,388.575
3,gpt-4o,550.0,1200,260,5.6,3080.0
4,gpt-4o-mini,1650.0,850,180,0.2355,388.575
4,gpt-4o,550.0,1200,260,5.6,3080.0
5,gpt-4o-mini,1650.0,850,180,0.2355,388.575
5,gpt-4o,550.0,1200,260,5.6,3080.0
6,gpt-4o-mini,1650.0,850,180,0.2355,388.575
6,gpt-4o,550.0,1200,260,5.6,3080.0
7,gpt-4o-mini,1650.0,850,180,0.2355,388.575
7,gpt-4o,550.0,1200,260,5.6,3080.0
8,gpt-4o-mini,1650.0,850,180,0.2355,388.575
8,gpt-4o,550.0,1200,260,5.6,3080.0
9,gpt-4o-mini,1650.0,850,180,0.2355,388.575
9,gpt-4o,550.0,1200,260,5.6,3080.0
10,gpt-4o-mini,1650.0,850,180,0.2355,388.575
10,gpt-4o,550.0,1200,260,5.6,3080.0
11,gpt-4o-mini,1650.0,850,180,0.2355,388.575
11,gpt-4o,550.0,1200,260,5.6,3080.0
12,gpt-4o-mini,1650.0,850,180,0.2355,388.575
12,gpt-4o,550.0,1200,260,5.6,3080.0
13,gpt-4o-mini,1650.0,850,180,0.2355,388.575
13,gpt-4o,550.0,1200,260,5.6,3080.0
14,gpt-4o-mini,1650.0,850,180,0.2355,388.575
14,gpt-4o,550.0,1200,260,5.6,3080.0
15,gpt-4o-mini,1650.0,850,180,0.2355,388.575
15,gpt-4o,550.0,1200,260,5.6,3080.0
16,gpt-4o-mini,1650.0,850,180,0.2355,388.575
16,gpt-4o,550.0,1200,260,5.6,3080.0
17,gpt-4o-mini,1650.0,850,180,0.2355,388.575
17,gpt-4o,550.0,1200,260,5.6,3080.0
18,gpt-4o-mini,1650.0,850,180,0.2355,388.575
18,gpt-4o,550.0,1200,260,5.6,3080.0
19,gpt-4o-mini,1650.0,850,180,0.2355,388.575
19,gpt-4o,550.0,1200,260,5.6,3080.0
20,gpt-4o-mini,1650.0,850,180,0.2355,388.575
20,gpt-4o,550.0,1200,260,5.6,3080.0
21,gpt-4o-mini,1650.0,850,180,0.2355,388.575
21,gpt-4o,550.0,1200,260,5.6,3080.0
22,gpt-4o-mini,1650.0,850,180,0.2355,388.575
22,gpt-4o,550.0,1200,260,5.6,3080.0
23,gpt-4o-mini,1650.0,850,180,0.2355,388.575
23,gpt-4o,550.0,1200,260,5.6,3080.0
24,gpt-4o-mini,1650.0,850,180,0.2355,388.575
24,gpt-4o,550.0,1200,260,5.6,3080.0
25,gpt-4o-mini,1650.0,850,180,0.2355,388.575
25,gpt-4o,550.0,1200,260,5.6,3080.0
26,gpt-4o-mini,1650.0,850,180,0.2355,388.575
26,gpt-4o,550.0,1200,260,5.6,3080.0
27,gpt-4o-mini,1650.0,850,180,0.2355,388.575
27,gpt-4o,550.0,1200,260,5.6,3080.0
28,gpt-4o-mini,1650.0,850,180,0.2355,388.575
28,gpt-4o,550.0,1200,260,5.6,3080.0
29,gpt-4o-mini,1650.0,850,180,0.2355,388.575
29,gpt-4o,550.0,1200,260,5.6,3080.0
30,gpt-4o-mini,1650.0,850,180,0.2355,388.575
30,gpt-4o,550.0,1200,260,5.6,3080.0
